2026-05-05 13:11:26 | DEBUG    | tensorflow           | <module>                            | Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
2026-05-05 13:11:27 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-05-05 13:11:27 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-05-05 13:11:27 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-05-05 13:11:27 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-05-05 13:11:30 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

2026-05-05 13:11:35 | INFO     | ggth                 | log_startup_banner                  | ======================================================================
2026-05-05 13:11:35 | INFO     | ggth                 | log_startup_banner                  |   GGTH Predictor v9.4  —  session start
2026-05-05 13:11:35 | INFO     | ggth                 | log_startup_banner                  |   Log file: C:\Users\jason\Desktop\GGTH 4-2-26\v2\ggth_predictor.log
2026-05-05 13:11:35 | INFO     | ggth                 | log_startup_banner                  | ======================================================================
2026-05-05 13:11:35 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\backend.py:1398: The name tf.executing_eagerly_outside_functions is deprecated. Please use tf.compat.v1.executing_eagerly_outside_functions instead.

2026-05-05 13:11:36 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\layers\normalization\layer_normalization.py:328: The name tf.nn.fused_batch_norm is deprecated. Please use tf.compat.v1.nn.fused_batch_norm instead.

2026-05-05 13:42:04 | DEBUG    | tensorflow           | <module>                            | Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
2026-05-05 13:42:04 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-05-05 13:42:04 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-05-05 13:42:04 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
2026-05-05 13:42:04 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 5 to 7
2026-05-05 13:42:06 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

2026-05-05 13:42:08 | INFO     | ggth                 | log_startup_banner                  | ======================================================================
2026-05-05 13:42:08 | INFO     | ggth                 | log_startup_banner                  |   GGTH Predictor v9.5  —  session start
2026-05-05 13:42:08 | INFO     | ggth                 | log_startup_banner                  |   Log file: C:\Users\jason\Desktop\GGTH 4-2-26\v2\ggth_predictor.log
2026-05-05 13:42:08 | INFO     | ggth                 | log_startup_banner                  | ======================================================================
2026-05-05 13:42:08 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\backend.py:1398: The name tf.executing_eagerly_outside_functions is deprecated. Please use tf.compat.v1.executing_eagerly_outside_functions instead.

2026-05-05 13:42:08 | WARNING  | tensorflow           | _tfmw_add_deprecation_warning       | From C:\Users\jason\Desktop\GGTH 4-2-26\v2\.venv\Lib\site-packages\keras\src\layers\normalization\layer_normalization.py:328: The name tf.nn.fused_batch_norm is deprecated. Please use tf.compat.v1.nn.fused_batch_norm instead.

2026-05-05 16:50:27 | DEBUG    | tensorflow           | <module>                            | Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
2026-05-05 16:50:28 | DEBUG    | h5py._conv           | <module>                            | Creating converter from 7 to 5
